Domain,Company Name,Company Region,Company Country,Company Industry
facebook.com,Facebook,California,United States,Internet
twitter.com,Twitter,California,United States,Internet
ask.com,Ask.com,California,United States,Publishing
att.com,AT&T Business,Texas,United States,Telecommunications
go.com,Disney Parks & Resorts,Illinois,United States,Hospitality
indeed.com,Indeed.com,Connecticut,United States,Internet
verizonwireless.com,Verizon Wireless,New Jersey,United States,Telecommunications
godaddy.com,GoDaddy,Arizona,United States,Internet
directv.com,DIRECTV,California,United States,Telecommunications
whitepages.com,Whitepages,Washington,United States,Internet
surveymonkey.com,SurveyMonkey,California,United States,Internet
comcast.com,Comcast,Pennsylvania,United States,Media Production
t-mobile.com,T-Mobile,Washington,United States,Telecommunications
aol.com,AOL,New York,United States,Internet
verizon.com,Verizon,New Jersey,United States,Information Technology & Services
shopify.com,Shopify,Ontario,Canada,Internet
sprint.com,Sprint,Kansas,United States,Telecommunications
spokeo.com,Spokeo,California,United States,Internet
bing.com,BING (Bureau Integriteit),,Netherlands,Security & Investigations
lg.com,LG Electronics,California,United States,Consumer Electronics
timewarnercable.com,Timewarner Cable Inc,,,Information Technology & Services
constantcontact.com,Constant Contact,Massachusetts,United States,Computer Software
zoho.com,Zoho Corporation,California,United States,Information Technology & Services
wix.com,Wix.com,,Israel,Internet
gotomeeting.com,Citrix,California,United States,Computer Software
dish.com,Dish Network,Colorado,United States,Telecommunications
shareasale.com,ShareASale.com,Illinois,United States,Marketing & Advertising
intelius.com,Intelius,Washington,United States,Internet
charter.com,Charter Communications,Missouri,United States,Telecommunications
bizrate.com,"Connexity, Inc.",California,United States,Internet
conduit.com,Conduit,California,United States,Internet
mediaplex.com,Mediaplex,California,United States,Marketing & Advertising
webs.com,Webs,Maryland,United States,Internet
about.com,About.com,New York,United States,Internet
blackberry.com,BlackBerry,Ontario,Canada,Computer Software
hubspot.com,HubSpot,,,Internet
centurylink.com,CenturyLink,Louisiana,United States,Information Technology & Services
skype.com,Skype,,Luxembourg,Computer Software
exacttarget.com,ExactTarget,Indiana,United States,Computer Software
motorola.com,Motorola Mobility (a Lenovo Company),Illinois,United States,Consumer Electronics
reachlocal.com,ReachLocal,California,United States,Marketing & Advertising
peoplefinders.com,PeopleFinders,California,United States,Internet
qualcomm.com,Qualcomm,California,United States,Wireless
hostgator.com,Hostgator.com,Texas,United States,Internet
rackspace.com,Rackspace,Texas,United States,Information Technology & Services
cox.com,Cox Communications,Georgia,United States,Broadcast Media
box.com,Box,California,United States,Internet
spiceworks.com,Spiceworks,Texas,United States,Internet
metropcs.com,MetroPCS,Texas,United States,Telecommunications
verticalresponse.com,VerticalResponse,California,United States,Internet
alot.com,Alot.com,New York,United States,Internet
zagg.com,ZAGG International,Utah,United States,Consumer Electronics
webex.com,Cisco,California,United States,Computer Networking
otterbox.com,OtterBox,Colorado,United States,Consumer Electronics
sulekha.com,Sulekha.com,,India,Internet
formstack.com,Formstack,Indiana,United States,Internet
msn.com,MSN,,,Online Publishing
mylife.com,MyLife.com,California,United States,Information Technology & Services
rdio.com,Rdio,California,United States,Music
icontact.com,iContact,North Carolina,United States,Information Technology & Services
ning.com,Ning,California,United States,Internet
virginmobileusa.com,Virgin Mobile USA,New Jersey,United States,Wireless
avaya.com,Avaya,New Jersey,United States,Telecommunications
bigcommerce.com,BigCommerce,,,Computer Software
yandex.ru,Yandex,,Russian Federation,Internet
nokia.com,Nokia,Texas,United States,Telecommunications
univision.com,Univision Communications Inc.,New York,United States,Broadcast Media
jawbone.com,Aliph,California,United States,Consumer Electronics
rakuten.co.jp,Rakuten,,Japan,Internet
networksolutions.com,Network Solutions,Virginia,United States,Information Technology & Services
8x8.com,8x8,California,United States,Information Technology & Services
vonage.com,Vonage,New Jersey,United States,Telecommunications
baidu.com,"Baidu, Inc.",,China,Internet
business.com,Business.com,California,United States,Online Publishing
mitel.com,Mitel,,,Telecommunications
bluehost.com,Bluehost,Utah,United States,Internet
sonymobile.com,Sony Mobile Communications,,United Kingdom,Telecommunications
ringcentral.com,RingCentral,California,United States,Computer Software
paltalk.com,Paltalk,New York,United States,Internet
sharefile.com,ShareFile,North Carolina,United States,Computer Software
campusexplorer.com,Campus Explorer,California,United States,Internet
riverbed.com,Riverbed Technology,California,United States,Computer Networking
marinsoftware.com,Marin Software,California,United States,Internet
mycricket.com,Cricket Wireless,California,United States,Telecommunications
gotowebinar.com,Avanse Financial Services Ltd.,,,Financial Services
mail.com,Yomio,Pennsylvania,United States,Consumer Goods
atdmt.com,Bally's Las Vegas,Nevada,United States,Other: Other
rebtel.com,Rebtel,New York,United States,Telecommunications
1and1.com,"1&1 Internet, Inc.",,,Internet
bluejeans.com,BlueJeans Network,California,United States,Computer Software
vzw.com,Verizon Wireless,New Jersey,United States,Telecommunications
mimecast.com,Mimecast,,United Kingdom,Information Technology & Services
uscellular.com,U.S. Cellular,Illinois,United States,Wireless
getsatisfaction.com,Get Satisfaction,California,United States,Internet
hughesnet.com,Hughes Network Systems,Maryland,United States,Telecommunications
aweber.com,AWeber,Pennsylvania,United States,Computer Software
animoto.com,Animoto,New York,United States,Computer Software
neat.com,The Neat Company,Pennsylvania,United States,Computer Software
peoplesmart.com,People Smart LLC,Alabama,United States,Business Services: HR and Recruiting Services
megapath.com,MegaPath,California,United States,Telecommunications
swagbucks.com,Swag Bucks,New York,United States,Media & Entertainment: Media & Entertainment Other
boingo.com,Boingo Wireless,California,United States,Wireless
greatcall.com,GreatCall,California,United States,Medical Device
secureserver.net,Secure Server,Connecticut,United States,Other: Other
fonality.com,Fonality,Texas,United States,Telecommunications
globo.com,GLOBO,,,Translation & Localization
